LCOS,Cycle Length,Permeability_mD,CG_Ratio,H2_Cost_per_kg,PSA_Cost,Predicted_RF,Reservoir_Pressure,Porosity,Wells No.,H2_Target_TWh,Source_File
52.589098457556275,180,18.2186734947473,1.7401655555926934,3.0,1.4128445386969963,0.9679246027247167,290.4704054171649,0.12839737491312955,199,50,optimal_plan_CL180_TWh50_Med_H23.0.xlsx
20.86323269740595,14,31.255523453763573,3.2383858821492986,3.0,0.28720889523028015,0.9640965229385647,268.5869713597768,0.14456720771261278,211,5,optimal_plan_CL14_TWh5_ Low_H23.0.xlsx
42.845089335013235,14,38.199815021781234,4.281576951592043,4.0,1.3974221642870148,0.9696214366025544,254.98899161666216,0.14135283946704308,284,5,optimal_plan_CL14_TWh5_ Med_H24.0.xlsx
71.16263819305374,360,28.948339690919262,0.24949454730287715,5.0,1.9514825244308784,0.9026805899546417,277.05465348608385,0.13366576092424753,325,200,optimal_plan_CL360_TWh200_Med_H25.0.xlsx
58.38809251208534,180,15.861185285178632,0.8585889938571377,5.0,1.6297388805201787,0.9388616812818419,281.74503264138167,0.12548686474756632,185,50,optimal_plan_CL180_TWh50_Med_H25.0.xlsx
33.72217156468615,360,21.120109023428913,0.030992019726419285,4.0,0.408376613113881,0.892650551629528,284.7896654765747,0.13250805173017366,251,150,optimal_plan_CL360_TWh150_Low_H24.0.xlsx
42.3437507493822,14,39.09787032366499,4.396934396228035,3.0,1.3950237592167745,0.9699729928809815,255.40892705027784,0.14050858952764664,291,5,optimal_plan_CL14_TWh5_ Med_H23.0.xlsx
47.675474923109334,60,38.630420596535025,2.9274591403009906,3.0,1.4703812465603763,0.9592581168771759,249.91227798932763,0.1361996137707133,127,15,optimal_plan_CL60_TWh15_ Med_H23.0.xlsx
24.645383796848506,60,17.01676557941551,0.7648346802958313,4.0,0.36487105442491047,0.9152065729991046,290.2166463313717,0.1298089794565452,134,15,optimal_plan_CL60_TWh15_ Low_H24.0.xlsx
30.69607334980913,360,17.92121575742177,0.03744540265454947,3.0,0.39247325788798115,0.9006214404572974,295.0302983255615,0.1296153712294884,151,100,optimal_plan_CL360_TWh100_Low_H23.0.xlsx
34.20207247405815,360,28.315577058012387,0.033650184653226056,4.0,0.4216243204766903,0.8862690619847333,273.3734673336107,0.13388697110925984,375,200,optimal_plan_CL360_TWh200_Low_H24.0.xlsx
28.47420955305091,180,22.377307574329834,0.06864471266008823,4.0,0.4160761564737544,0.8886066734423065,286.0806634916231,0.12887600149256914,142,50,optimal_plan_CL180_TWh50_Low_H24.0.xlsx
31.106689781034078,360,20.93095406984954,0.03302927445234113,3.0,0.40779520261896085,0.8929699784280469,284.9904500784584,0.13213523646690947,251,150,optimal_plan_CL360_TWh150_Low_H23.0.xlsx
95.2385639404909,360,26.475245367016072,0.9746164726833648,3.0,3.1457467639348096,0.9461209079629112,282.8774963213454,0.1183302895014373,135,100,optimal_plan_CL360_TWh100_High_H23.0.xlsx
50.77031597798027,60,37.54996185492874,2.7023850099139457,5.0,1.4859871362786734,0.9570616600096351,251.83387063573355,0.13467338976016308,126,15,optimal_plan_CL60_TWh15_ Med_H25.0.xlsx
108.6291181086164,360,26.48241910177771,0.7693491664217541,5.0,3.4311066637447674,0.9285330367816386,279.4314050378346,0.13144658931714295,328,200,optimal_plan_CL360_TWh200_High_H25.0.xlsx
