Optimal Loss Cost ($\times 10^9$),LCOS,Scenario
0.7210298946891642,55.94960433003877,CL14–5 TWh
0.1522042503294089,55.98198416972981,CL14–5 TWh
0.1210902521553235,55.67423442771899,CL14–5 TWh
0.04036341738510784,55.67102780977381,CL14–5 TWh
0.03805106258235223,55.91194598963543,CL14–5 TWh
0.07610212516470446,56.16092910349442,CL14–5 TWh
0.02674708044149039,56.87844011680466,CL14–5 TWh
1.413181748578363,56.13666461143318,CL14–5 TWh
0.2413799312066043,55.78796719606176,CL14–5 TWh
0.3044085006588178,56.0709194183483,CL14–5 TWh
0.22830637549411342,55.94283598721645,CL14–5 TWh
0.07610212516470446,55.55392896606971,CL14–5 TWh
0.03805106258235223,55.73406900410086,CL14–5 TWh
0.11415318774705671,56.04489915880463,CL14–5 TWh
1.8652761177683919,55.8161148383171,CL14–5 TWh
0.3424595632411701,56.19289056621137,CL14–5 TWh
0.07882536181502443,56.15831692941082,CL14–5 TWh
0.19148088056971388,56.15839731833248,CL14–5 TWh
0.15524586670317062,55.73513235952404,CL14–5 TWh
0.07610212516470446,55.99942564221628,CL14–5 TWh
0.1902553129117612,55.72764395729392,CL14–5 TWh
0.045804497537300246,55.2840827138198,CL14–5 TWh
0.4763080553955185,20.93157647706121,CL14–5 TWh
1.585687764344181,20.7223059973471,CL14–5 TWh
0.20225462626008478,20.72845358866735,CL14–5 TWh
0.2010674452980851,20.57520548913288,CL14–5 TWh
0.06702248176602837,20.57296799574844,CL14–5 TWh
0.0669688877021294,20.766454877939,CL14–5 TWh
0.0683051869096863,20.94755484977977,CL14–5 TWh
0.3970730900651357,20.62218647905693,CL14–5 TWh
0.0683051869096863,20.92605204620023,CL14–5 TWh
0.1318919003025119,20.91223879459023,CL14–5 TWh
0.12644707630998409,20.875501130547,CL14–5 TWh
0.06702248176602837,20.82643941687928,CL14–5 TWh
0.3857815700951197,20.79357437421067,CL14–5 TWh
1.321406470286818,20.9036503155162,CL14–5 TWh
0.1348364175067232,20.84695816535871,CL14–5 TWh
0.26614225325632995,20.86326397581693,CL14–5 TWh
0.5322845065126599,20.86326397581693,CL14–5 TWh
0.06630928822043194,21.0059508141152,CL14–5 TWh
3.024098542722354,20.70113440899248,CL14–5 TWh
0.1295477071668573,20.87159087879185,CL14–5 TWh
0.1989501512922345,20.92374755323112,CL14–5 TWh
0.2651722466749214,20.70390097018386,CL14–5 TWh
0.26420907552836953,20.94986430906978,CL14–5 TWh
0.3154502281000668,20.58731290454351,CL14–5 TWh
0.1348364175067232,20.78678244932718,CL14–5 TWh
0.3415259345484315,20.79523958262787,CL14–5 TWh
0.06263925641168155,20.30578007606156,CL14–5 TWh
0.6480829375045654,16.57128018914725,CL14–5 TWh
2.216337759596776,16.41715957073228,CL14–5 TWh
0.2760417987012558,16.44811130713299,CL14–5 TWh
0.27492476334433846,16.35922283315939,CL14–5 TWh
0.0920139329004186,16.34953151563538,CL14–5 TWh
0.0914180342568826,16.48601270909258,CL14–5 TWh
0.08228132841425269,16.59322172365411,CL14–5 TWh
0.09273713342565855,16.52616535189203,CL14–5 TWh
1.409774843429882,16.55795440140891,CL14–5 TWh
0.5409236774471725,16.34455005295582,CL14–5 TWh
0.09273713342565855,16.5283495238514,CL14–5 TWh
0.179466788438777,16.54927014534105,CL14–5 TWh
0.6480829375045654,16.56999729046901,CL14–5 TWh
0.0920139329004186,16.55908708650203,CL14–5 TWh
0.527510544844224,16.50685897667851,CL14–5 TWh
0.1867966907887988,16.53942718799213,CL14–5 TWh
0.1840278658008372,16.54850691782655,CL14–5 TWh
0.2760417987012558,16.54850691782655,CL14–5 TWh
0.4600696645020931,16.54850691782655,CL14–5 TWh
4.133584690083759,16.45581932626197,CL14–5 TWh
0.18326593079057052,16.53715777688162,CL14–5 TWh
0.3632941259346698,16.47798638784025,CL14–5 TWh
0.6541321727961834,16.55608655260911,CL14–5 TWh
0.4275385928671671,16.20070462701394,CL14–5 TWh
0.1840278658008372,16.50404463635865,CL14–5 TWh
0.4636856671282928,16.42764340917172,CL14–5 TWh
0.08611714121742765,16.19731433656024,CL14–5 TWh
2.6355161311086097,15.07723275482215,CL14–5 TWh
0.3286510328749889,15.12004501003788,CL14–5 TWh
0.32059949155316203,15.03710509559428,CL14–5 TWh
0.109550344291663,15.03075860750881,CL14–5 TWh
0.1088499378505923,15.15754918030535,CL14–5 TWh
0.2226799309769434,15.14432917904917,CL14–5 TWh
0.1101567736294309,15.15407350331663,CL14–5 TWh
4.112825923324334,15.17398418874866,CL14–5 TWh
0.6434871581611726,15.01594734289765,CL14–5 TWh
0.11150041691849301,15.15639770987563,CL14–5 TWh
0.04972532107211056,15.35344430542533,CL14–5 TWh
0.6285613450727252,15.17928188488703,CL14–5 TWh
0.2218625855850448,15.17085700109911,CL14–5 TWh
0.11150041691849301,15.17692262853274,CL14–5 TWh
5.040922009436921,15.09879355091811,CL14–5 TWh
0.2218625855850448,15.16475059948952,CL14–5 TWh
0.5553968766945491,15.05033886133897,CL14–5 TWh
0.7765499327240668,15.18002955315489,CL14–5 TWh
0.5071586191770723,14.82224381134737,CL14–5 TWh
0.1890573711985136,15.16008014929817,CL14–5 TWh
0.5507838681471549,15.07028396719117,CL14–5 TWh
0.1028565486074342,14.92685518182144,CL14–5 TWh
2.9343845167350184,14.4149560642629,CL14–5 TWh
0.3661606897540805,14.46342608734839,CL14–5 TWh
0.3583067512149973,14.37228247189663,CL14–5 TWh
0.1190031241659569,14.37484367409404,CL14–5 TWh
0.1239780436861419,14.49799068797751,CL14–5 TWh
0.2475853796569116,14.45869910784293,CL14–5 TWh
4.716772155934807,14.4875849021968,CL14–5 TWh
0.7166135024299944,14.35916217155863,CL14–5 TWh
0.1239780436861419,14.47098925587906,CL14–5 TWh
0.23757168687787422,14.52502766835222,CL14–5 TWh
0.3600245957456158,14.5126164260437,CL14–5 TWh
0.5077576403991442,14.53098778518787,CL14–5 TWh
5.6088373364719635,14.42556663615059,CL14–5 TWh
0.2468621815148262,14.48565500657049,CL14–5 TWh
0.6159408065185823,14.32343739679783,CL14–5 TWh
0.8638321036759973,14.50045279383697,CL14–5 TWh
0.5639265975461607,14.14294416852296,CL14–5 TWh
0.2102458052331425,14.48016109362406,CL14–5 TWh
0.6128836817314938,14.39978380702151,CL14–5 TWh
0.1147915147292557,14.29813902592053,CL14–5 TWh
3.147473545171242,14.06775239267076,CL14–5 TWh
0.3929045567060473,14.1194496765943,CL14–5 TWh
0.3843757876249147,14.0270691876584,CL14–5 TWh
0.1281252625416382,14.02465195909051,CL14–5 TWh
0.1326713101797843,14.13788879465485,CL14–5 TWh
0.2653426203595687,14.09855304509638,CL14–5 TWh
0.1314319981131279,14.121145576507,CL14–5 TWh
5.054788338999245,14.12596482661516,CL14–5 TWh
0.7687515752498292,14.01493396250055,CL14–5 TWh
0.13287441912423112,14.11098528308909,CL14–5 TWh
0.0357841252167911,14.38979118329692,CL14–5 TWh
0.044119574698328105,14.17672524787508,CL14–5 TWh
0.2645894529371585,14.13245221995343,CL14–5 TWh
0.13287441912423112,14.13016539161253,CL14–5 TWh
0.5434412394549477,14.15029600977882,CL14–5 TWh
0.032206428366556475,14.35909533150575,CL14–5 TWh
6.013753115764897,14.07228024711612,CL14–5 TWh
0.2646865479054364,14.12919857585792,CL14–5 TWh
0.6591077917347471,13.94015244232292,CL14–5 TWh
0.9260630852800547,14.14374027265759,CL14–5 TWh
0.6044013815605486,13.78588344735441,CL14–5 TWh
0.2254350757185134,14.1222895096391,CL14–5 TWh
0.6571599905656396,14.04797667556838,CL14–5 TWh
0.12330098062672021,13.96945455055448,CL14–5 TWh
3.299403077445872,13.83883067002799,CL14–5 TWh
0.5631278827589545,13.88287364922057,CL14–5 TWh
0.40296265029764233,13.79937840129552,CL14–5 TWh
0.1343208834325474,13.79700360034557,CL14–5 TWh
0.27800328756632803,13.86171045790736,CL14–5 TWh
0.1377456773685872,13.88702074968833,CL14–5 TWh
5.29578920596601,13.88819158175571,CL14–5 TWh
0.826474064211523,13.7888750826189,CL14–5 TWh
0.13921741185908662,13.87421274378341,CL14–5 TWh
0.04622090231707488,13.93750711553773,CL14–5 TWh
0.27800328756632803,13.89624335697094,CL14–5 TWh
0.142220788103993,13.90089396552627,CL14–5 TWh
0.2844415762079861,13.90089396552627,CL14–5 TWh
0.5688831524159722,13.90089396552627,CL14–5 TWh
6.302452470255616,13.83964101598779,CL14–5 TWh
0.2773950747999947,13.89449080452017,CL14–5 TWh
0.6898852556038485,13.68924472397706,CL14–5 TWh
0.9704329150994501,13.90894122345646,CL14–5 TWh
0.6332593431803936,13.55111376442919,CL14–5 TWh
0.688728386842936,13.81627533308028,CL14–5 TWh
0.11562150083292261,13.7335632229053,CL14–5 TWh
0.9940738543565087,70.83074480367327,CL60–15 TWh
0.9940738543565087,70.12394144152475,CL60–15 TWh
0.1003475080357062,71.32076053026921,CL60–15 TWh
0.09951131426759648,70.2490727599092,CL60–15 TWh
0.050173754017853116,70.84179176031499,CL60–15 TWh
0.2985339428027893,71.19350533873929,CL60–15 TWh
0.09951131426759648,70.58832940130375,CL60–15 TWh
1.888740323277366,71.4191622199118,CL60–15 TWh
0.447800914204184,70.10694554669395,CL60–15 TWh
0.447800914204184,71.23375080153184,CL60–15 TWh
0.2487782856689911,69.0474513542758,CL60–15 TWh
0.2487782856689911,69.77475614230286,CL60–15 TWh
0.03416105439156851,71.2523950732817,CL60–15 TWh
1.524799098295351,24.69125104113564,CL60–15 TWh
1.524799098295351,24.09861100057114,CL60–15 TWh
0.30454320946421476,24.52921268812127,CL60–15 TWh
0.2284074070981611,24.59865833440026,CL60–15 TWh
0.0761358023660537,24.58479345138489,CL60–15 TWh
0.0761358023660537,24.62251963604276,CL60–15 TWh
0.15227160473210738,24.54478577227065,CL60–15 TWh
0.30454320946421476,24.64726297250242,CL60–15 TWh
0.15227160473210738,24.36669015688739,CL60–15 TWh
0.0761358023660537,24.49448613558965,CL60–15 TWh
0.4568148141963223,24.34259212969041,CL60–15 TWh
0.0761358023660537,24.7302862779843,CL60–15 TWh
0.0761358023660537,24.7302862779843,CL60–15 TWh
0.15227160473210738,24.13910029944422,CL60–15 TWh
0.15227160473210738,24.6237254778051,CL60–15 TWh
0.30454320946421476,24.6237254778051,CL60–15 TWh
0.0761358023660537,24.60037985953636,CL60–15 TWh
0.6090864189284297,24.62372547780511,CL60–15 TWh
0.30454320946421476,24.69318832213064,CL60–15 TWh
0.6852222212944835,24.4044320225258,CL60–15 TWh
0.1761216867389217,24.68332690323633,CL60–15 TWh
0.6852222212944835,24.5475524182826,CL60–15 TWh
0.38067901183026864,23.75411416089708,CL60–15 TWh
0.38067901183026864,23.85306480822253,CL60–15 TWh
0.07472294647393073,23.87074504334006,CL60–15 TWh
2.014913112009199,19.0507594025849,CL60–15 TWh
2.014913112009199,18.5495856238578,CL60–15 TWh
0.4019893287871152,18.8557582021483,CL60–15 TWh
0.3014919965903363,18.90212903885816,CL60–15 TWh
0.1004973321967788,18.89047329433835,CL60–15 TWh
0.1004973321967788,18.92489896278072,CL60–15 TWh
0.2009946643935576,18.8749556761536,CL60–15 TWh
0.4019893287871152,18.98884577243193,CL60–15 TWh
0.1813246216852994,18.80407088644253,CL60–15 TWh
0.08955830755855593,18.9599549578347,CL60–15 TWh
0.6029839931806729,18.71848399764731,CL60–15 TWh
0.482167532178001,19.00791375340336,CL60–15 TWh
0.2009946643935576,18.56131960205727,CL60–15 TWh
0.2009946643935576,18.93267054399625,CL60–15 TWh
0.4019893287871152,18.93267054399625,CL60–15 TWh
0.1004973321967788,18.93448747351266,CL60–15 TWh
0.8039786575742304,18.93267054399625,CL60–15 TWh
0.2024019934227792,18.99495989407437,CL60–15 TWh
0.9044759897710092,18.82363181914657,CL60–15 TWh
0.16471154622076342,18.7463104278916,CL60–15 TWh
0.9044759897710092,18.89115203733199,CL60–15 TWh
0.502486660983894,18.27796190061314,CL60–15 TWh
0.502486660983894,18.34165736903943,CL60–15 TWh
0.09738699894487071,18.15215309634661,CL60–15 TWh
1.694483338474503,17.20468511933471,CL60–15 TWh
2.364357630158442,16.77317757932796,CL60–15 TWh
0.4714670651086596,17.04004184018291,CL60–15 TWh
0.35360029883149463,17.07984284002759,CL60–15 TWh
0.11866818373604239,17.0610727560132,CL60–15 TWh
0.1178667662771649,17.10174868334733,CL60–15 TWh
0.2357335325543298,17.05956161605431,CL60–15 TWh
