flow_rate_sm3_day,flow_rate_cap_sm3_day,low_permeability_flow_cap,cycle_length_days,cg_ratio,cg_type,permeability_md,porosity,pressure_mpa,temperature_c,top_depth_m,mean_depth_m,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
27142.10819044085,1500000.0,False,268.0624697566401,3.407055952783036,N2,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
411932.01146951807,1500000.0,False,351.02417635512325,2.834402342929514,CO2,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
772129.4161263398,1500000.0,False,277.2716381831019,3.5457699927682738,CO2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
19079.4661847946,100000.0,True,155.48854822549507,1.2618220675052387,H2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
59466.03431936615,1500000.0,False,245.7283731176262,2.324353789681331,N2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
1482034.638613299,1500000.0,False,250.35921844984625,0.37136624344846486,N2,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
49611.21411549627,1500000.0,False,177.66665677256714,3.5139318437613185,CH4,350.0,0.14,10.3,45.7819,1022.34,1421.13,2,2,2,23,Bunter Sandstone Formation Zone 1
334568.33091855905,1500000.0,False,47.39267068607788,1.0909815292743803,H2,100.0,0.14,0.7,12.2771,65.06,1591.16,0,16,16,25,Bunter Sandstone Formation Zone 4
64689.203534971886,100000.0,True,120.94980768570852,1.3353244454308808,N2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
152049.14249657153,1500000.0,False,156.47678684994895,0.7640480734460439,CH4,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
95974.89217918842,1500000.0,False,274.34054401941603,1.6951727762582196,CO2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
193058.30502000445,1500000.0,False,282.0442437360871,0.18459903905298564,CO2,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
300063.5009438915,1500000.0,False,259.4564973972166,0.8512726760681487,CO2,470.0,0.22,23.88,79.71,2241.0,3300.75,3,0,0,147,Statfjord_009_24
41300.412779224454,100000.0,True,319.3990914323045,0.7081415725044568,CO2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
228468.60060285433,1500000.0,False,341.0739235400544,3.620106733353295,H2,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
22183.953949746894,1500000.0,False,334.8576458286076,1.4274261755809914,CH4,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
74598.13566503477,1500000.0,False,74.88658308450948,2.6373474480212593,CH4,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
288447.8224676879,1500000.0,False,166.02588415486588,2.8958271033609573,N2,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
730281.210897357,1500000.0,False,271.7068951381685,3.5268780072880115,CH4,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
180040.1977644897,1500000.0,False,71.48777982972291,2.9226220792556816,CH4,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
1176020.5151093518,1500000.0,False,303.4630853104463,3.722184043085705,H2,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
344609.5567923087,1500000.0,False,319.2943658559389,1.6486719052388992,CH4,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
79414.50768942389,1500000.0,False,31.523736385564323,2.547561180244868,CO2,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
91246.87820367633,1500000.0,False,225.42148760032103,2.8095339882234858,H2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
178668.63475011746,1500000.0,False,51.941064624661045,0.3096726572948791,CO2,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
263585.8307853712,1500000.0,False,46.112312506421546,3.8005116514396082,N2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
555275.8511560174,1500000.0,False,178.93847274518657,0.7725192235199756,H2,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
26435.947894065965,1500000.0,False,166.41004255908905,3.8180111358443445,N2,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
252277.23467209275,1500000.0,False,214.1448004589321,3.8998491331169083,H2,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
435911.0000679731,1500000.0,False,256.35004727265806,1.0507067098946579,N2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
52581.8753582354,1500000.0,False,165.5656843990208,1.162025683109208,CH4,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
326149.8928904512,1500000.0,False,248.51235716832528,3.0300722353999543,CO2,350.0,0.14,10.3,45.7819,1022.34,1421.13,2,2,2,23,Bunter Sandstone Formation Zone 1
121104.19357637613,1500000.0,False,233.14255890416834,1.9107737254670039,N2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
419356.9749956365,1500000.0,False,355.4532332803524,1.8570035036733001,CO2,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
1452712.8964143656,1500000.0,False,152.07615278162413,1.7617807612940706,CH4,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
918241.5324673456,1500000.0,False,345.694479687286,0.63884881997959,CH4,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
52477.37797248336,100000.0,True,140.9007814669408,0.5029454222577079,CH4,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
338079.5893126176,1500000.0,False,26.55047358175077,2.1799493605470346,H2,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
902527.7755389324,1500000.0,False,208.04605614032695,1.7264017947867196,H2,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
106651.64541047512,1500000.0,False,237.4357841950097,0.9060881279686757,N2,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
34950.42229107277,1500000.0,False,82.70912482983746,0.14457949959194796,CH4,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
28526.52242974091,1500000.0,False,21.51073401836978,3.7480913276371877,H2,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
14981.475113999462,1500000.0,False,137.583152473553,0.7897084301849436,CH4,271.0,0.22,11.5,49.23,1080.0,1449.75,1,12,12,9,Bunter Closure 35
65190.66006026727,1500000.0,False,361.4725486370468,2.6195584156613854,CH4,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
569537.8112692246,1500000.0,False,60.25766002256697,0.9828772832234887,N2,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
794474.017141483,1500000.0,False,226.7297051976755,0.563231659574125,N2,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
126297.1854194145,1500000.0,False,160.8553386372397,3.5002609471875576,N2,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
1217957.6145615336,1500000.0,False,205.63347857764816,3.9111268480258743,CO2,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
1458065.6184195308,1500000.0,False,291.43263440399573,2.870138874064269,CO2,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
422091.15899797453,1500000.0,False,236.81057689386859,0.0730580883697919,N2,100.0,0.14,0.7,12.2771,65.06,1591.16,0,16,16,25,Bunter Sandstone Formation Zone 4
99627.0215263858,1500000.0,False,29.856374758369874,3.6450065276527424,H2,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
637238.8254167566,1500000.0,False,356.11834442004283,3.0650600749459813,CO2,271.0,0.22,11.5,49.23,1080.0,1449.75,1,12,12,9,Bunter Closure 35
32590.588761744646,100000.0,True,27.164016626808145,3.062106701096019,CO2,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
37635.13555294008,1500000.0,False,311.77676872807643,1.879157775361167,CH4,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
22729.46901171306,1500000.0,False,239.62670756804297,0.43883061404645846,CO2,271.0,0.22,11.5,49.23,1080.0,1449.75,1,12,12,9,Bunter Closure 35
