Field Name,CO2 Endpoint RelPerm,Formation Temp [C],Latitude,Longitude,Number of Wells,Permeability [mD],Pore Pressure [MPa],Pore Volume,Porosity [-],Salinity [ppm],Swr [-],Temp Gradient
Judy_029_11a,0.237,95.92,56.55,1.46,1,0.5,34.6,1209.37674,0.13,66358.36,0.423,33.99845320959
Judy_029_11b,0.237,106.01,56.73,1.06,4,0.5,35.3,4009.0765,0.13,74241.74,0.423,36.998867497169
Judy_029_14a,0.237,104.82,56.6,1.71,9,0.5,43.2,5921.201,0.13,64960.98,0.423,37.498063516654
Judy_029_14b,0.237,143.53,56.73,1.24,6,0.5,54.1,1209.24232,0.13,120,0.423,36.999726999727
Judy_029_19,0.237,92.73,56.44,1.67,5,0.5,29.9,8496.95704,0.13,68581.63,0.423,37
Judy_030_06,0.237,165.43,56.74,2.01,30,0.5,84.2,12952.57678,0.13,232.4,0.423,36.998824911868
Judy_030_07,0.237,176.53,56.83,2.22,2,0.5,86,1371.084,0.13,155.2,0.423,37.99785806888
Judy_030_08,0.237,190.3,56.71,2.47,5,0.5,78.9,2104.21068,0.13,108585.82,0.423,38.322472146311
Judy_030_13,0.237,139.89,56.66,2.39,57,0.5,63.4,2926.3234,0.13,235.5,0.423,35.368731563422
Judy_030_17,0.237,167.67,56.41,2.33,79,0.5,49.2,5149.6302,0.13,122.2,0.423,37.99857210852
Judy_030_19,0.237,116.6,56.42,2.64,19,0.5,38.06,7682.64068,0.13,34322.43,0.423,34.465249127261
Judy_030_25b,0.237,116.6,56.27,2.91,0,0.5,51.2,1189.617,0.13,73085,0.423,34.465249127261
Lossiehead_012_25,0.237,34,58.26,-2.18,136,5.03,8.1,206233.852864,0.13,46769.84,0.423,32.5
Mains_012_26,0.237,36,58.020657,-2.882098,94,400,8.1,11076.456,0.15,35000,0.423,35
Nansen_003_02,0.237,101.78,60.90336,1.264193,497,330,46.2,4680.92625,0.14,24000,0.423,32.997888810697
