Field Name,Latitude,Longitude,Number of Wells,Porosity [-],Formation Temp [C],Pore Pressure [MPa],Salinity [ppm],Permeability [mD],Swr [-],CO2 Endpoint RelPerm,Gross Prod Rate/Well [cm/d],Water Prod Rate/Well [cm/d],Gas Saturation [-],Gas Gravity,RGIIP,Reservoir Pressure[MPa],Reservoir Temp [C],Gas Comp. Factor,Gas Viscosity [cp],Pore Volume,Temp Gradient,Cum,ref,,,,,,,
Forbes gas field,54.683773,1.499463,2,0.18,70.3484,18.9,165000,1,0.423,0.237,0.001,0.001,-,-,2250,19.3,63,0.913826,0.023,210.1464,36.24906977,1473,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.53,,,,,,,
Gordon Gas field,54.505503,1.957469,2,0.18,65.2552,17.7,165000,1,0.423,0.237,0.001,0.001,-,-,3900,18.08,61,0.938078,0.023,405.8856,36.00955975,3994,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.53,,,,,,,
Caister B gas field,54.19862,2.463122,8,0.21,55.8759,14,250000,100,0.423,0.237,177149.3151,0.955251142,0.66,0.625,"3,284.75",14.31,54.44,0.919,0.016,231.525,35.72828358,3223.85,,,,,,,,
Victor gas field,53.332015,2.335615,6,0.16,97.72575,26.6,220000,52,0.423,0.237,1221839.041,0.001,-,-,"26,051.50",27.9,89,0.941502,0.023,413.47152,35.46472332,20152.35,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.63,,,,,,,
Vixen gas field,53.401741,2.239164,1,0.16,105.94305,27.6,220000,5,0.423,0.237,2834320.548,0.001,-,-,"3,313.07",26.66,83,0.95737,0.023,95.712672,35.72959949,3747.15,https://www.offshore-technology.com/projects/vixen/?cf-view,,,,,,,
West Sole gas field,53.721458,1.117158,29,0.12,102.4469,29.2,239050,3,0.423,0.237,218349.589,0.001,0.6,0.598,"39,248.00",29.4,85,0.979876,0.023,793.717218,34.98033333,60143.55,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.1991.014.01.65,,,,,,,
Bure gas field,53.129283,2.416744,2,0.2,89.06,24.1,250000,78,0.423,0.237,795898.6301,1.682191781,0.66,0.6,1693.377,25.56,80.56,0.944741,0.023,116.144,35,1881.53,,,,,,,,
Rough gas field,53.829899,0.456151,26,0.13,98.17,30.1,200000,75,0.423,0.237,192934,0.07,0.64,0.636,10350,31.25,92,0.95,0.023,71.67524,32.87276704,62893.54,,,,,,,,
Yare gas field,53.051765,2.568526,1,0.19,91.4884,24.5,250000,60,0.423,0.237,598517.8082,1.756164384,0.55,0.6,1509.66,25.15,81.11,0.928143,0.023,236.9528,35.52697872,1677.4,,,,,,,,
Markham gas field,53.834911,2.890449,6,0.14,129.695,39.2,173000,50,0.423,0.237,5270591.781,23.76986301,0.77,0.779,"19,821.79",42.83,114,1.10043,0.023,237.74016,35,12072.31,https://www.lyellcollection.org/doi/epdf/10.1144/petgeo.1.4.303,,,,,,,
