case_id,chunk_id,pool_row_index,name,InitialTemperature,PressureGWC,ReferencePorosity,ReferencePermeability,CushionGasType,InjectionRateDev,InjectionRateOp,ProductionRate,InjectionDurationDev,InjectionDurationOp,ExtractionDurationOp,TEnd,MaxTimeStepSize,CGRatio,CycleLengthDays,FlowRateSm3Day,FlowRateMolM2S,PermeabilityMd,Porosity,PressureMPa,TemperatureC,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
0,0,0,case000_CGCH4_Q1267909_CL62.1_CGR2.19_K100_Poro0.140,285.4271,700000.0,0.14,100.0,CH4,-47.879397756418975,-47.879397756418975,47.879397756418975,68.12951963201397,31.06495366764703,31.06495366764703,689.4285929849545,27075.741106318215,2.1931312166407086,62.12990733529406,1267908.5801103998,47.879397756418975,100.0,0.14,0.7,12.2771,1,19,19,25,Bunter Sandstone Formation Zone 4
1,0,1,case001_CGH2_Q50859_CL339.0_CGR3.59_K100_Poro0.210,330.03215,13500000.0,0.21,100.0,H2,-1.920575638610304,-1.920575638610304,1.920575638610304,608.8050101329892,169.47994375089144,169.47994375089144,3998.4038851508176,43200.0,3.5921950211869063,338.9598875017829,50859.33501781672,1.920575638610304,100.0,0.21,13.5,56.88215,1,4,4,14,Bunter Closure 4
2,0,2,case002_CGN2_Q20625_CL173.5_CGR3.68_K100_Poro0.140,285.4271,700000.0,0.14,100.0,N2,-0.7788564901554398,-0.7788564901554398,0.7788564901554398,319.15878345355867,86.75209142884779,86.75209142884779,2054.2006120305145,43200.0,3.6789750909385956,173.50418285769558,20625.13049071009,0.7788564901554398,100.0,0.14,0.7,12.2771,1,19,19,25,Bunter Sandstone Formation Zone 4
3,0,3,case003_CGCO2_Q526628_CL359.8_CGR2.86_K1.6e03_Poro0.230,348.63,26500000.0,0.23,1600.0,CO2,-19.886797598478346,-19.886797598478346,19.886797598478346,513.9365066523657,179.91284989349435,179.91284989349435,4112.193504522253,43200.0,2.856585880089211,359.8256997869887,526628.2051897609,19.886797598478346,1600.0,0.23,26.5,75.48,3,1,1,56,Fulmar_021_23
4,0,4,case004_CGH2_Q39215_CL153.1_CGR0.26_K1.6e03_Poro0.230,348.63,26500000.0,0.23,1600.0,H2,-1.480837912577432,-1.480837912577432,1.480837912577432,19.94031254204428,76.56021067374193,76.56021067374193,1551.144526016883,43200.0,0.26045268640938135,153.12042134748387,39214.50943601276,1.480837912577432,1600.0,0.23,26.5,75.48,3,1,1,56,Fulmar_021_23
5,0,5,case005_CGN2_Q112782_CL76.8_CGR1.68_K15_Poro0.140,337.60999999999996,15700000.0,0.14,15.0,N2,-4.258924324235124,-4.258924324235124,4.258924324235124,64.48457016044694,38.395340739757444,38.395340739757444,832.3913849555959,32690.279845528854,1.6794894619511664,76.79068147951489,112781.84241602445,4.258924324235124,15.0,0.14,15.7,64.46,0,9,9,26,Bunter Sandstone Formation Zone 5
6,0,6,case006_CGN2_Q775528_CL184.1_CGR1.52_K1.6e03_Poro0.230,348.63,26500000.0,0.23,1600.0,N2,-29.285870103219576,-29.285870103219576,29.285870103219576,140.12653979234145,92.07128579590815,92.07128579590815,1981.5522557105044,43200.0,1.5219352980793168,184.1425715918163,775527.841197473,29.285870103219576,1600.0,0.23,26.5,75.48,3,1,1,56,Fulmar_021_23
7,0,7,case007_CGCH4_Q1211023_CL87.0_CGR0.83_K30_Poro0.170,362.21999999999997,39900000.0,0.17,30.0,CH4,-45.73126372676443,-45.73126372676443,45.73126372676443,36.24109117843243,43.514284993437386,43.514284993437386,906.5267910471802,35601.77943021653,0.8328550310294225,87.02856998687477,1211023.2036216995,45.73126372676443,30.0,0.17,39.9,89.07,1,17,17,97,Joanne_029_14
8,0,8,case008_CGH2_Q137052_CL286.9_CGR0.97_K1.6e03_Poro0.230,368.15999999999997,34800000.0,0.23,1600.0,H2,-5.175411553240667,-5.175411553240667,5.175411553240667,139.49169920504752,143.47068181354393,143.47068181354393,3008.905335475926,43200.0,0.9722662319701838,286.94136362708787,137051.61345887234,5.175411553240667,1600.0,0.23,34.8,95.01,3,13,13,55,Fulmar_021_18
9,0,9,case009_CGCH4_Q25384_CL49.0_CGR0.40_K100_Poro0.160,314.27,8900000.0,0.16,100.0,CH4,-0.958568317157712,-0.958568317157712,0.958568317157712,9.860449623474329,24.49584438828429,24.49584438828429,499.77733738916015,19627.61906837429,0.4025356083740604,48.99168877656858,25384.132860846392,0.958568317157712,100.0,0.16,8.9,41.12,1,5,5,17,Bunter Closure 42
